created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Jan 01 14:46:14 +0000 2022;1477290073045364736;"1. 🇮🇩 Indonesia sukses total menciptakan 20 gol. Terprodukktif  2. 🇮🇩 Indonesia memiliki average umur 23,8 tahun atau rekor termuda untuk Indonesia di AFF Cup  3. Timnas 🔴⚪ berhasil meraih 6x MoTM dalam 8 pertandingan yang mereka lalui  4. Indonesia - 1 Malaysia #AFFSuzukiCup https://t.co/sshyIR0SeL";73;86;1104;4661;in;1042719651250110464;1477290073045364736;garagarabola_;https://twitter.com/garagarabola_/status/1477290073045364736
Sat Jan 01 14:43:06 +0000 2022;1477289281722875905;"APRESIASI DAN APPLAUSE UNTUK TIMNAS INDONESIA. HASIL RUNNER UP MEMANG TAK MEMUASKAN, NAMUN PERJUANGAN HINGGA FINAL BUKAN CAPAIAN YANG MUDAH DAN ITU LAYAK DIHARGAI! TERIMA KASIH COACH STY, STAF PELATIH, SELURUH PEMAIN. SEMOGA TERUS MAJU &amp  BERKEMBANG!   PANJANG PERJUANGAN💪✊🇲🇨 https://t.co/RTObqofEsc";57;69;1541;6700;in;756534156;1477289281722875905;SiaranBolaLive;https://twitter.com/SiaranBolaLive/status/1477289281722875905
Sat Jan 01 14:33:35 +0000 2022;1477286888050290689;"Para pemain dan tim pelatih Timnas Indonesia menghampiri pendukung setelah pertandingan berakhir.  Terima kasih atas perjuangannya!  Coach Shin Tae Yong pun membungkuk ke arah penonton sebagai apresiasi.  감사합니다 신태용 코치님!  #KitaGaruda #TimnasDay #AFFSuzukiCup2020 https://t.co/koYXJfOfU5";568;294;5271;15656;in;2941773157;1477286888050290689;BadmintonTalk;https://twitter.com/BadmintonTalk/status/1477286888050290689
Sat Jan 01 14:28:07 +0000 2022;1477285511672725508;"Thanks Timnas Indonesia. You did great.";28;77;1463;9912;en;26970305;1477285511672725508;radenrauf;https://twitter.com/radenrauf/status/1477285511672725508
Sat Jan 01 14:25:29 +0000 2022;1477284850356789249;"Timnas Indonesia memang kalah dan kembali gagal juara. Namun hal terbaik yang bisa dilihat dari leg kedua final ini adalah bahwa mereka tidak menyerah dan pasrah.  Walaupun agregat sudah 0-4, mereka berjuang keras dari awal hingga akhir.";26;18;919;4100;in;267020338;1477284850356789249;putrategar2709;https://twitter.com/putrategar2709/status/1477284850356789249
Sat Jan 01 14:25:10 +0000 2022;1477284768681054213;"TERIMA KASIH! MATUR NUWUN! TIMNAS INDONESIA.  🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨 https://t.co/fHQN81xKuj";82;82;1210;5155;in;756534156;1477284768681054213;SiaranBolaLive;https://twitter.com/SiaranBolaLive/status/1477284768681054213
Sat Jan 01 14:25:00 +0000 2022;1477284729787273216;"Pulang ke Indonesia dgn kepala tegak, timnas.";53;149;2192;17623;in;14305560;1477284729787273216;pandji;https://twitter.com/pandji/status/1477284729787273216
Sat Jan 01 14:24:53 +0000 2022;1477284696933343235;"TERIMA KASIH TIMNAS INDONESIA!!!  KAMI TETAP BANGGA!!!";49;74;1197;7458;in;26970305;1477284696933343235;radenrauf;https://twitter.com/radenrauf/status/1477284696933343235
Thu Dec 30 14:33:01 +0000 2021;1476561969310097412;"Menurut kapten terakhir Timnas Indonesia yang menjadi juara, problemnya bukan bakat. Tapi ada masalah akut dalam hal struktural.   Apa gunanya punya ratusan juta bakat, tapi akhirnya harus menjalani proses dalam sistem yang payah? https://t.co/tsH9ncweZP";120;199;1301;4126;in;132276059;1476561969310097412;ainurohman;https://twitter.com/ainurohman/status/1476561969310097412
Thu Dec 30 12:21:08 +0000 2021;1476528779220557826;"Kabar burung Timnas Thailand terancam di diskualifikasi dari Piala AFF 2020 karena kasus doping itu hoax ya ges ya.  Memang Thailand sedang kena sanksi dari WADA terkait doping tapi itu kasus kurang lebih sama kayak Indonesia (gugel aja), sanksinya dilarang mengibarkan bendera.";119;231;427;4338;in;1222927522033094656;1476528779220557826;idextratime;https://twitter.com/idextratime/status/1476528779220557826
