,id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
129,2C3tuEsIsKd9QXgBMu2ZtQ,Mahali Mix,Mahali Mix,Samir Roashan,2020-06-26,349331,33,0.448,0.0569,0.863,0.0,0.142,-2.91,0.0735,110.596,1
130,5fS5jkfpyzv06IjKX6EzdH,Sial - Remix Version,Sial (Remix Version),Mahalini,2023-05-04,331650,48,0.764,0.112,0.998,0.134,0.272,0.578,0.145,142.969,4
131,45L5R01QrCXNDrQIHUSWoz,Karma,LOVE AND COMPROMISE,Mahalia,2019-09-06,258666,43,0.499,0.497,0.468,0.0205,0.122,-6.12,0.152,171.994,4
132,60IcksXvum3ozThY1wRnBN,DJ SIAL MAHALINI,DJ SIAL MAHALINI,DJ NWP,2023-02-09,339356,52,0.696,0.0719,0.939,0.000842,0.506,-3.675,0.0433,144.989,4
133,1ZXylApbxdxYJ4fXVtccyO,Mahalia,Fool My Conscience,Giants' Nest,2021-05-28,203621,36,0.858,0.0564,0.746,0.826,0.343,-6.693,0.123,114.983,4
134,2c8nVfgUks9469LQkHLOHs,Kisah Sempurna,Kisah Sempurna,Mahalini,2022-04-22,276019,31,0.541,0.508,0.486,1.64e-05,0.0816,-8.521,0.0337,122.027,4
135,699iGd6ZmWMbQptvHJRPYC,Richie,LOVE AND COMPROMISE,Mahalia,2019-09-06,147426,33,0.834,0.0471,0.747,1.25e-06,0.13,-5.617,0.245,95.898,4
136,6WajCEmgidv2hIWnnYpSxU,Sisa Rasa,Sisa Rasa,Mahalini,2021-10-22,254863,32,0.486,0.507,0.406,3.57e-06,0.108,-6.325,0.0301,122.075,4
137,2Q2IRIapbYEVVgzhnAG8kB,Square 1,LOVE AND COMPROMISE,Mahalia,2019-09-06,220306,37,0.707,0.227,0.601,0.00866,0.118,-5.231,0.0388,86.005,4
138,3daocmaYgdVQYb42dBYjvZ,DJ SIAL MAHALINI ( REMIX ),DJ SIAL MAHALINI ( REMIX ),DJ CINTA GOMESH,2023-02-11,136679,17,0.681,0.0266,0.989,1.78e-05,0.339,0.068,0.0673,143.988,4
139,4MXybj7P24zyIyTcWB4a0C,Consistency,LOVE AND COMPROMISE,Mahalia,2019-09-06,174546,36,0.763,0.525,0.678,0.000363,0.103,-4.93,0.0551,123.014,4
140,1zsmd1fyUCowqGJjhZ0OMr,DJ SIAL MAHALINI - BAGAIMANA DENGAN AKU TERLANJUR MENCINTAIMU SOUND SANDIKAWEK,DJ SIAL MAHALINI - BAGAIMANA DENGAN AKU TERLANJUR MENCINTAIMU SOUND SANDIKAWEK,YASSDI,2023-02-08,240686,36,0.617,0.0678,0.999,0.6,0.279,-0.747,0.0623,143.073,4
141,5deVg0xkVdJQZ8at6uuNwB,Surprise Me,Surprise Me,Mahalia,2018-09-07,219340,41,0.681,0.19,0.495,0.0188,0.102,-8.06,0.0657,76.009,4
